Sample	Cohort	Fragment Name	Intensity	Metabolite Name
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 195/115	61576.4	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 196/115	142348.8	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 196/116	60150.8	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Citrate 197/116	46515.8	Citrate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 146/41	11572.6	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 147/41	2343.4	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 147/42	1326.8	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 148/41	1275.168702	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 148/42	1873.4	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 148/43	4249.8	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 149/41	1660.8	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 149/42	1885	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 149/43	2129.8	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 150/42	1466.6	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 150/43	2812.2	Glutamate
Experimental Sample (S126)	H.  G9 13C-Glc 240min	Glutamate 151/43	1983.2	Glutamate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 191/111	2569755.84	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 192/111	29174.6	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 192/112	142196.6	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 193/112	2159.2	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 193/113	18540	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 194/113	2043.2	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 194/114	1867.4	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 195/114	1033	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 195/115	1880.8	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 196/115	1420	Citrate
Experimental Sample (S127)	I.  G9 13C-Gln BCH 0min	Citrate 196/116	1991	Citrate
